,price,year,km,engine_size,horse_power
339,195000,2013,74800,1197,105
340,252000,2018,50000,1597,120
341,29500,1994,270000,1581,83
343,590000,2008,246000,2501,226
344,73000,2004,161000,1399,94
347,109000,2007,287000,1595,125
348,116000,2016,139000,1401,51
349,122000,2016,101000,1461,90
350,169850,2016,148000,1560,95
352,181900,2015,145000,1598,105
353,198000,2016,109000,1461,110
354,207000,2020,0,1200,101
355,216000,2016,58850,1598,110
356,228900,2020,0,1201,101
358,313900,2017,42000,1598,120
359,347000,2013,86000,1401,126
360,48750,2003,388000,1686,75
361,66500,1986,414000,2001,76
362,89000,2017,480000,1248,95
364,91000,2012,102000,1398,100
365,117900,2012,204500,1598,124
366,121750,2009,168000,1365,90
367,124750,2013,150000,1248,95
368,129750,2015,110000,1461,90
369,135900,2011,183000,1560,110
370,143900,2012,148500,1201,76
371,161000,2019,43000,1201,76
372,162500,2015,145000,1461,110
373,170000,2015,158000,1582,136
374,172000,2013,128500,1401,101
375,183000,2019,30000,1242,90
377,215900,2020,7500,1461,115
378,23000,1994,200000,1499,68
380,272900,2015,102000,1496,116
381,285000,2017,146000,1598,120
382,288000,2018,59000,1498,152
383,299900,2021,2850,999,115
384,299999,2020,2950,1401,101
385,318000,2013,92000,1598,170
386,386900,2018,96000,1461,109
387,39900,1995,125000,1581,83
388,49900,2001,156000,1489,88
389,78000,2006,280000,1599,107
390,82500,2008,249000,1584,98
391,96000,2007,95000,1240,80
392,97000,2001,240000,1801,126
393,102000,2007,240000,1968,140
394,108000,2015,174000,1248,95
395,110000,2010,70000,1595,125
396,120000,2010,229500,1398,71
397,125750,2013,179000,1364,90
398,126000,2011,139000,1598,124
399,128000,2004,359000,1781,150
400,132000,2007,153000,1498,95
401,138000,2017,80000,898,90
402,149000,2014,147000,1396,90
403,175000,2014,40000,1401,101
404,205000,2019,9100,1401,76
405,22850,1993,195000,1289,57
406,30000,1993,127000,1581,80
407,51000,2003,205000,1390,75
408,55000,1996,350000,1998,115
409,81800,2006,180000,1461,75
410,89000,1995,298950,1801,126
411,105000,2008,271000,1598,105
412,111500,2009,232000,1242,69
413,111800,2009,187000,1461,80
414,112000,2015,250000,1149,75
415,117900,2011,217000,1397,100
416,118500,2012,137000,1329,99
417,138000,2014,160000,1461,110
418,147000,2015,110000,1422,90
419,166500,2020,21000,1499,100
420,178000,2013,205000,1401,101
422,187000,2016,116000,1560,115
423,275000,2012,217000,1801,176
424,42500,1993,175000,1401,51
426,499750,2017,62000,1968,190
429,109900,2012,214000,1598,124
430,113500,2007,229500,1598,124
431,122500,2011,325000,1560,111
432,124000,2006,215000,1598,115
433,126500,2016,503713,1461,90
434,146000,2014,140000,1197,105
436,187000,2017,28000,1598,110
437,193900,2017,49500,1461,110
438,219500,2008,382000,2967,233
439,244950,2021,0,1401,101
440,28500,1992,6000,1581,83
441,369000,2012,196000,2001,201
443,420000,2015,96000,1499,136
444,54000,1996,190000,1201,76
445,65000,2006,211000,1598,100
446,81250,2011,130000,1248,78
447,110500,2011,257500,1461,105
448,112500,2013,75000,898,90
450,161000,2019,43000,1201,76
451,164750,2015,117000,1401,126
452,165000,2016,141000,1499,120
453,172000,2013,128500,1401,101
454,208000,2013,164000,1598,170
455,215900,2020,7500,1461,115
456,262500,2020,3700,1498,150
457,315000,2013,175000,1401,151
458,346900,2016,110000,1401,151
459,36750,1997,260000,1289,68
461,42000,1995,181000,1581,83
462,72000,2000,346000,1781,150
463,78000,2006,280000,1599,107
464,97000,2001,240000,1801,126
465,108000,1996,540000,1801,126
466,114500,2007,144000,1596,125
467,115000,2012,130000,1598,124
468,116000,2014,216000,1401,76
469,134000,2008,103000,1401,101
470,136500,2017,69000,1560,93
471,154900,2018,51000,1248,95
472,159000,2012,57800,1339,100
473,175000,2016,113000,1422,90
474,204500,2018,75000,1598,115
476,257750,2015,82000,1598,110
478,52250,1993,1111,1581,83
480,75000,2005,314000,1599,107
482,85500,2005,235000,1598,100
483,107000,2012,195000,1598,124
484,109900,2011,159000,1398,70
485,123000,2013,121000,1198,75
486,124500,2010,210000,1364,90
487,125000,2017,102000,1560,93
489,199750,2012,196257,1598,105
490,262500,2016,50000,1395,125
491,268500,2020,39000,1498,150
492,287500,2012,170000,1796,156
493,327000,2014,199000,1801,176
494,348000,2020,0,1496,122
495,35000,1995,250000,1581,80
496,36500,1996,158000,1601,101
497,48000,1999,40000,1397,72
499,78900,2013,250000,1248,95
500,79500,2010,157000,1390,75
501,116000,2014,137500,1401,51
502,143000,2001,334000,1998,163
503,158500,2015,104000,1598,125
504,160000,2016,161000,1198,130
505,191500,2017,113000,1598,115
506,22000,1989,290000,1581,80
507,252000,2011,171000,1801,126
508,260000,2017,69000,1201,101
509,262000,2017,109000,1598,136
510,263500,2016,99950,1598,120
511,326500,2014,140000,1401,151
512,38500,1998,50000,1397,72
513,64000,2006,160000,1150,72
514,77750,2011,235000,1461,70
515,84500,2006,293000,1201,76
516,87000,2009,200000,1493,110
517,92500,2015,250000,1201,76
518,96000,2014,136000,1199,73
519,117750,2015,215000,1396,90
520,119900,2012,230000,1401,76
521,125000,2012,190000,1461,110
522,125750,2013,123000,1201,76
523,133000,2008,297000,1390,125
524,135000,2016,97500,1461,90
525,148750,2009,106000,1498,95
526,169750,2012,141000,1598,105
527,174500,2017,59300,1395,125
528,179750,2016,81000,1596,125
529,212500,2013,166483,1598,136
530,222500,2017,119000,1598,136
531,235000,2020,20500,1598,132
533,33000,1994,185000,1581,80
535,78900,2013,254000,1248,95
536,87000,2004,227000,1595,102
537,125000,2015,50000,1461,75
538,145000,2013,78000,1197,105
539,145000,2018,26000,1560,100
540,146000,2011,117000,1598,115
541,199500,2014,155000,1598,105
542,213750,2017,150000,1461,110
543,24000,1989,98484,1581,80
545,279750,2017,33000,1395,125
546,318750,2013,166500,1801,176
547,475000,2016,77000,1401,151
548,535000,2017,118000,1201,126
549,64750,2001,380000,1596,100
550,67000,2000,240000,1332,86
551,70000,2010,245000,1401,101
552,82000,2005,270000,1598,115
553,92500,2014,140000,1201,76
555,101000,2010,96300,1399,100
557,121000,2013,155000,1461,90
558,137500,2011,130000,1364,90
559,138950,2016,156000,1582,136
560,148000,2015,158000,1461,90
561,193500,2017,126000,1499,120
562,245900,2019,35500,1598,115
563,27500,1993,128000,1289,57
564,286990,2016,69350,1598,110
565,294900,2016,95000,1401,151
566,31000,1998,40000,1372,71
567,359750,2016,17000,1598,120
568,475000,2014,120000,1401,151
569,49750,2001,313000,1389,60
570,60000,1999,300000,1201,76
571,67500,2004,215000,1398,69
572,91999,2010,167000,1461,70
574,1580000,2020,780,1984,245
576,121000,2010,183000,1582,115
577,135500,2012,190000,1595,125
578,136500,2017,69000,1560,93
579,145500,2011,263000,1598,105
580,146500,2013,248000,1461,90
581,154900,2018,51000,1248,95
582,154999,2010,129000,1401,176
584,245900,2021,8,999,115
585,274900,2010,174000,1801,176
586,29700,1990,440000,1576,80
587,30000,2000,288000,1499,77
588,30500,1991,138000,993,53
589,333900,2015,106000,1401,101
590,35000,1990,100000,1581,83
594,702500,2017,109500,1801,176
595,74900,2009,140000,1401,101
596,75000,2005,314000,1599,107
598,82750,2008,320000,1461,100
600,87500,2000,300000,1596,100
601,100000,2010,107000,1587,111
602,107000,2010,173000,1242,82
603,116000,2016,139000,1401,51
604,121000,2012,194000,1598,124
605,121750,2009,213500,1595,125
606,170000,2014,249500,1395,140
607,175000,2015,151000,1401,101
608,225000,2016,96000,1598,110
609,225000,2012,340000,1801,126
611,240000,2020,20000,1598,132
612,244900,2018,60000,1598,136
613,282500,2008,160000,1995,170
615,60000,1998,125000,999,54
616,64500,2014,650000,1201,76
617,658000,2020,0,1401,176
618,77999,2007,135555,1390,75
620,115000,2011,143000,1398,100
621,120000,2013,122000,1461,90
622,127000,2012,92000,1397,96
624,134990,2011,150000,1401,76
625,137750,2018,79990,1461,90
627,189700,2011,258000,1995,184
628,205000,2019,9100,1401,76
629,224000,2014,106000,1401,101
631,290000,2020,10000,1597,125
632,455000,2015,167000,1968,190
633,50000,2000,90000,1581,96
634,65750,2002,220000,1201,76
635,74500,2011,165000,1399,95
636,89900,2011,118000,1399,97
637,105000,2011,195000,1598,124
638,128000,2011,186000,1596,125
639,137500,2013,198000,1591,132
640,138000,2014,160000,1461,110
641,138000,2016,80000,1461,90
642,155000,1990,465000,3001,151
643,172700,2017,87900,1461,90
644,205000,2013,339000,1801,176
645,21000,1989,45000,1581,80
646,243000,2014,87000,1401,101
647,30000,1995,99999,1581,75
648,306500,2018,88200,1401,101
649,66750,1998,210000,2001,151
650,72750,2008,269000,1422,80
651,83000,2006,191000,1560,93
652,869000,2020,8000,1401,151
653,95750,2007,165000,1201,76
655,107500,2012,179000,1560,114
657,127000,2011,140000,1461,85
659,143000,2016,75000,898,90
660,147500,2013,110000,1339,100
662,158950,2016,27000,1368,100
663,182500,2016,130000,1499,120
665,198000,2009,161000,1390,125
666,232000,2017,216000,1598,120
668,40000,2000,166000,1372,71
669,419000,2016,19800,1401,151
670,72500,1994,310000,1997,136
672,92300,2010,199500,1598,113
673,105500,2015,150000,1201,76
674,107750,2011,118000,1398,70
675,119000,2017,72500,1560,93
676,133000,2014,225626,1461,90
677,148000,2012,130000,1364,90
679,175000,2011,130000,1201,101
680,179000,2020,16000,1200,101
681,193900,2017,49500,1461,110
682,20000,1987,45545,1297,65
683,215750,2015,54000,1598,125
684,234500,2014,155000,1598,110
685,279000,2014,39935,1595,122
686,485000,2016,56500,1401,151
687,66500,2004,299645,1399,83
688,73750,2010,292500,1401,76
689,77500,2007,200000,1390,75
690,97500,2012,210000,1401,76
691,110000,2012,108000,1598,124
692,115000,2011,330000,1248,95
693,115000,2009,65000,1201,76
694,125000,2016,150000,1598,120
695,135000,2016,150000,1199,83
696,146000,2019,16150,898,90
697,189500,2015,180000,1461,110
698,19900,1993,207000,1289,57
699,201000,2011,109000,1390,122
700,225000,2018,62000,1461,110
701,250000,2009,158000,1995,177
702,252750,2021,0,1200,101
703,27500,1987,99000,1297,65
704,29750,1994,230000,1598,90
705,310000,2015,86000,1598,110
706,339500,2021,11200,1597,125
707,86500,1987,370000,5001,201
708,92000,2007,170000,1201,76
710,113000,2011,183000,1598,124
711,115000,2008,105000,1595,102
712,139900,2015,98000,1199,83
713,144000,2011,146000,1595,125
714,145000,2013,78500,1396,100
716,196000,2015,98000,1598,110
717,201000,2009,330000,1796,184
718,215900,2020,7500,1461,115
720,264500,2018,124000,1598,120
721,345000,2014,138000,1995,184
722,48750,1998,255000,1389,90
723,66500,2008,195000,1368,77
725,74500,2008,208000,1388,80
726,87900,2006,191000,1390,98
727,101000,2011,215000,1595,125
728,114500,2015,102000,1390,85
729,122000,2011,218000,1560,114
730,137000,2014,54400,1461,110
731,144750,2015,90000,1248,84
732,147950,2017,136000,1598,120
733,165000,2012,220000,1598,105
734,186000,2015,223000,1461,110
735,191000,2015,155500,1598,110
736,309500,2013,162000,1401,151
737,33900,1998,120000,1581,80
738,428000,2016,72000,1401,151
740,75000,2006,340000,1801,126
741,80000,2004,140000,1298,87
742,85000,2010,169000,1150,72
743,86000,2005,226911,1595,102
744,92000,2009,190000,1598,103
745,113000,2016,200000,999,75
746,118750,2011,134000,1201,76
747,134999,2016,117000,1596,105
748,140000,2019,18200,898,90
749,155900,2013,136000,1598,105
750,160900,2017,78000,1461,90
751,175000,2013,92000,1364,90
752,185000,2013,175403,1598,105
753,197950,2018,47000,1201,76
754,26500,1992,91600,1581,83
755,297900,2021,0,1401,101
756,350900,2014,133000,1801,176
757,405000,2014,144000,1401,151
759,79500,2010,157000,1390,75
760,88500,2012,130000,1398,100
761,93000,2011,116000,1493,88
762,93000,2013,33000,998,69
763,101000,2004,236000,1401,101
764,105000,2015,205000,1461,90
765,118500,2012,170000,1582,128
766,179900,2016,330000,1461,110
767,180000,2015,155000,1499,120
768,187000,2016,163000,1598,136
769,195000,2015,230000,1401,101
770,197900,2006,280000,2967,233
771,208500,2014,182000,1598,105
772,255000,2018,65000,1598,115
773,27500,1991,1111,1581,78
774,335000,2014,136000,1598,170
775,60000,2006,145000,1150,72
777,75900,2001,55000,1401,76
778,80000,2000,188000,1398,97
779,84900,2015,171000,1560,93
780,85000,2008,111000,1390,75
782,103900,2011,150000,1598,124
783,107900,2005,292000,1590,110
784,124000,2013,133000,1598,115
785,125000,2017,102000,1560,93
786,128750,2012,190000,1364,90
787,134750,2008,220000,1995,143
788,140900,2016,32000,1461,75
789,180000,2018,99000,1461,90
790,217500,2016,160000,1598,110
791,245900,2021,8,999,115
792,262500,2016,50000,1395,125
793,269000,2013,120000,1401,226
794,302500,2018,47263,1401,101
796,36500,1996,158000,1601,101
797,36950,1995,47000,1201,51
799,40250,1991,281500,1401,76
801,42000,1999,317500,1275,75
802,78900,2013,250000,1248,95
803,79500,2010,157000,1390,75
804,79900,2005,270000,1201,76
805,79999,2006,192500,1598,120
806,81950,2005,235000,1801,126
807,86000,2010,196000,1493,110
808,999000,2020,0,1801,226
809,110750,2015,80000,1201,76
810,118500,2012,255000,1560,114
811,12345,2012,126000,1461,70
812,135000,2011,98000,1595,125
813,135000,2012,217000,1461,110
814,173750,2013,85000,1598,132
815,175000,2015,160000,1401,76
816,204750,2016,131000,1395,125
817,300000,2016,214000,1598,120
818,390000,2014,82000,1801,176
819,43500,1997,284000,1948,139
820,45000,1999,350000,1581,83
821,49000,1996,325000,1998,136
822,69000,1995,446000,1998,136
823,70000,2006,222000,1201,51
825,875000,2016,38000,1968,190
826,92000,2012,175000,1248,75
827,108750,2016,144000,1461,90
828,113500,2010,55000,1399,94
829,125750,2014,222000,1598,105
830,166000,2017,135000,1396,90
831,197900,2002,339000,3600,272
832,205000,2015,44000,1598,110
833,227900,2020,0,1200,76
834,289000,2020,57000,1401,126
835,30999,1994,150000,1581,83
836,49750,2004,179000,1390,75
837,53000,1997,400000,1396,90
838,64500,2004,257000,1398,93
839,65000,2000,188000,1870,98
840,665900,2020,38000,1801,176
841,70000,2001,250000,1596,100
842,875500,2020,14000,1401,151
843,88500,2005,250000,1401,101
844,96000,2014,161500,1201,76
845,121750,2009,168000,1365,90
846,123900,2012,75500,1390,85
847,128500,2011,110400,1598,124
848,131750,2015,93000,1461,90
849,133000,2014,195000,1560,93
850,135900,2011,183000,1560,110
851,162500,2015,145000,1461,110
852,178500,2015,135000,1598,110
853,185500,2015,59000,1364,140
854,214750,2021,950,1201,76
856,299900,2021,2850,999,115
857,299999,2020,2950,1401,101
858,353000,2012,54000,1595,156
859,37900,1998,275000,1201,51
860,39900,1995,125000,1581,83
861,460000,2017,92000,1801,176
862,73500,2013,235000,1461,90
863,1580000,2020,780,1984,245
864,100000,2010,86000,1493,110
865,109750,2010,132000,1598,124
866,114500,2015,195000,1461,90
867,135500,2012,190000,1595,125
868,163900,2018,41000,1461,90
869,172750,2016,105000,1422,90
870,187000,2008,173000,1796,184
871,205250,2017,93000,1598,136
873,245900,2021,8,999,115
874,35000,1990,100000,1581,83
875,48500,1999,138500,1289,68
876,74900,2009,140000,1401,101
877,82750,2008,320000,1461,100
878,87500,2000,300000,1596,100
879,93750,2015,175000,1201,76
880,97500,2013,102500,1199,73
881,100000,2013,292160,1560,117
882,107900,2005,292000,1590,110
883,113000,2010,250000,1598,115
884,125000,2009,195000,1598,115
885,128750,2012,190000,1364,90
886,129500,2017,95000,1461,90
887,180000,2018,99000,1461,90
888,210000,2012,152000,1401,126
889,245900,2021,8,999,115
890,302500,2018,47263,1401,101
891,335500,2021,7,999,110
892,37500,1998,230000,1581,103
894,63500,2007,141680,1150,72
895,66000,2011,515000,1399,97
896,79000,1993,432000,1801,126
897,81950,2005,235000,1801,126
898,93000,2014,247000,1461,75
899,103900,2005,269000,1590,110
900,113000,2012,160000,1598,124
901,115000,2011,290000,1560,90
902,121250,2012,135000,1396,108
903,137750,2012,140000,1364,90
904,148500,2021,6910,1368,95
905,199750,2017,110000,1598,115
906,205000,2012,149800,1390,122
907,276500,2020,650,1200,101
908,430250,2017,117000,1968,190
909,47500,1997,11111,1581,83
910,520000,2014,196000,1995,218
911,63500,2003,238000,1401,101
912,79500,2000,228000,1598,100
913,80000,2010,148000,1390,75
914,87500,1997,371444,1998,136
916,96000,2010,159000,1587,111
917,116500,2011,144000,1598,124
918,117000,2009,222000,1201,76
919,125000,2019,4000,1000,73
921,137750,2016,125000,1461,110
922,185900,2001,425000,3199,224
923,202750,2014,124000,1598,105
924,203500,2017,104800,1395,125
925,248000,2013,203000,1801,126
926,27500,1995,1111,1581,83
927,299900,2012,180000,1801,176
928,49750,2000,260000,1332,86
929,55750,1997,386000,1801,126
931,69500,2006,290000,1422,80
933,85000,2011,154000,1390,75
935,126000,2016,128000,1598,120
936,128000,2017,124000,1560,93
938,167500,2012,168000,1595,125
939,177900,2018,31668,999,110
940,185250,2017,138000,1461,110
941,185750,2017,175000,1461,110
942,193000,2014,71000,1401,126
943,209500,2014,248123,1598,120
944,237900,2008,148000,1601,176
945,266750,2020,17000,1498,150
947,36750,1991,92000,1581,83
948,55000,2001,280000,1998,150
949,695000,2017,32000,1984,252
950,71500,2009,177000,1390,75
951,88750,2006,255000,1248,90
952,92000,2010,210000,1598,124
953,118500,2014,140000,1560,93
954,127750,2014,85000,1461,90
955,131900,2016,115000,1248,95
957,151000,2017,173000,1582,136
958,162900,2008,315000,1968,136
959,195900,2018,25000,1598,132
960,215000,2016,119000,1598,110
961,217500,2017,140000,1461,110
962,220000,2015,49000,1401,101
963,234750,2017,49750,1395,150
964,30500,1992,185000,1390,83
965,410000,2014,99000,1592,170
966,415000,2011,215000,1601,201
968,499750,2020,15100,1401,126
969,89750,2001,139000,1598,100
970,96950,2010,182000,1598,113
971,107900,2015,185000,1461,75
972,109000,2010,170000,1596,100
975,205000,2016,153000,1598,110
976,238500,2018,16300,999,110
977,247500,2017,60280,1598,115
978,297500,2016,115000,1401,126
979,34000,1993,189000,1397,72
980,37000,1996,75000,1581,83
981,59500,2004,166000,1242,81
982,645000,2017,32000,1595,156
983,659900,2012,205000,2967,245
985,69900,1999,365000,1598,110
987,93500,2008,243000,1493,110
988,94750,2004,198000,1598,100
989,103900,2005,269000,1590,110
990,113000,2011,208000,1598,105
991,115000,2011,290000,1560,90
993,136500,2017,31500,1200,76
994,137750,2012,140000,1364,90
995,160000,2016,161000,1198,130
996,199750,2017,110000,1598,115
998,232500,2012,82000,1401,176
999,26500,2001,155000,1500,78
1000,260000,2017,69000,1201,101
1001,345000,2019,9000,1498,152
1002,37700,2000,174000,1298,69
1003,378900,2015,53000,1598,136
1004,380000,2015,118000,1801,176
